number_of_edges,state_space_size,exact_efrac,overapproximated_efrac
761,288,0.16153846153846155,0.3076923076923077
790,344,0.27575757575757576,0.34242424242424246
807,285,0.18518518518518517,0.3148148148148148
885,392,0.21846153846153846,0.23692307692307693
909,350,0.41111111111111115,0.44166666666666665
914,368,0.38292011019283745,0.44352617079889806
925,444,0.28342245989304815,0.2905525846702317
942,351,0.25,0.35064935064935066
945,483,0.21272727272727274,0.2290909090909091
955,380,0.3333333333333333,0.39316239316239315
959,493,0.2345679012345679,0.2469135802469136
981,477,0.22222222222222224,0.23640661938534277
997,366,0.25,0.49621212121212116
1048,571,0.26137052759248025,0.28744693753790174
1062,455,0.26436781609195403,0.3448275862068966
1091,404,0.27419354838709675,0.2849462365591398
1099,508,0.26544117647058824,0.3426470588235294
1141,588,0.2577777777777778,0.2733333333333333
1162,409,0.19333333333333333,0.32333333333333336
1169,406,0.21614583333333334,0.390625
1193,430,0.23272727272727273,0.2690909090909091
1197,461,0.21763085399449036,0.2396694214876033
1214,443,0.3076923076923077,0.46794871794871795
1231,447,0.23274161735700197,0.29783037475345164
1242,609,0.40215924426450744,0.40215924426450744
1249,456,0.2212121212121212,0.27575757575757576
1252,423,0.2828282828282828,0.37373737373737376
1274,643,0.293491124260355,0.29467455621301775
1288,501,0.2851851851851852,0.3222222222222222
1296,689,0.29084967320261434,0.3189542483660131
1301,681,0.273992673992674,0.34285714285714286
1305,573,0.34978991596638653,0.37289915966386555
1333,459,0.16,0.3090909090909091
1344,608,0.2056159420289855,0.259963768115942
1359,703,0.2142857142857143,0.24285714285714285
1406,738,0.2705792682926829,0.35060975609756095
1417,720,0.23376623376623376,0.25744843391902217
1436,758,0.17938420348058903,0.2603748326639893
1465,756,0.22697003329633741,0.24972253052164262
1536,790,0.3889751552795031,0.3982919254658385
1541,612,0.21114369501466276,0.25219941348973607
1556,734,0.1671875,0.20390625
1575,816,0.21360759493670886,0.21360759493670886
1584,801,0.22323232323232323,0.23535353535353534
1586,837,0.3051948051948052,0.3777056277056277
1596,637,0.33999999999999997,0.44
1637,534,0.22999999999999998,0.26
1659,855,0.3198581560283688,0.35390070921985817
1737,583,0.24444444444444444,0.35111111111111115
1763,669,0.2840909090909091,0.3494318181818182
1779,945,0.19604863221884497,0.23404255319148937
1783,632,0.24166666666666664,0.37333333333333335
1810,885,0.3256059009483667,0.3266596417281349
1827,674,0.16944444444444443,0.2361111111111111
1868,884,0.20797720797720798,0.22863247863247863
1934,661,0.1818181818181818,0.2840909090909091
1937,867,0.25558035714285715,0.3091517857142857
1966,751,0.21774193548387097,0.239247311827957
1992,1047,0.1606012658227848,0.18275316455696203
2002,1015,0.24330357142857142,0.25223214285714285
2111,1098,0.18615040953090095,0.23529411764705885
2121,1040,0.27249134948096887,0.27249134948096887
2139,1044,0.2690972222222222,0.2760416666666667
2141,1077,0.21667907669396871,0.2472077438570365
2167,1088,0.2246633593196315,0.23387668320340183
2197,715,0.22469635627530363,0.3360323886639676
2204,1111,0.1793478260869565,0.18115942028985507
2224,1093,0.15760869565217392,0.2164855072463768
